ID,Title,State,URL,Labels,Created At
3614,Process KeyBinding Command Asyncly for Browser,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3614,,2025-12-29T13:55:27Z
3534,"In Project Explorer, ensure ""Select All"" (Ctrl+A and menu) works reliably irrespective of first or subsequent selections.",open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3534,,2025-11-11T17:31:13Z
1504,RuleBasedScanner: IllegalArgumentException,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1504,bug,2024-01-15T12:17:29Z
1112,UI Freeze on macOS with long texts on progress monitor,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1112,,2023-09-13T15:19:29Z
2340,AssertionFailedException TextFileChange.releaseDocument,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2340,bug,2024-09-30T10:04:15Z
2805,editors opened with IDE.openEditors don't persist restart if never activated,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2805,bug,2025-02-18T16:46:04Z
208,WorkbenchWindowControlContribution has no access to underlying ToolItem,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/208,,2022-07-13T16:00:59Z
2774,AssertionFailedException logged after local junit test,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2774,test,2025-02-05T11:21:19Z
3734,Replace GIF icons with SVGs in example.navigator project,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3734,,2026-02-17T14:31:50Z
2978,IWorkbenchPage.getViewReferences() loses views,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2978,bug,2025-05-13T15:20:11Z
3431,Detect the desired size from the path or Query parameters.,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3431,,2025-10-22T16:47:50Z
3330,Ignore ALT_GR when considering to hide content assists,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3330,,2025-09-26T20:35:12Z
1612,"Setting the ""Maximized"" flag on an view break layout",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1612,bug,2024-02-01T09:32:56Z
2976,Perspective reset does not close Help or Welcome views,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2976,"bug, help wanted",2025-05-13T13:26:29Z
2929,Center text/save space on message dialogs?,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2929,enhancement,2025-04-17T15:25:12Z
2853,Extension for quick search dialog text viewers. Fixes #2010,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2853,,2025-03-23T16:34:27Z
273,Cheat Sheets - No menu item for reattaching a detached cheat sheet,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/273,,2022-08-16T16:18:25Z
3685,SynchronizableDocument implementation is deadlock friendly,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3685,bug,2026-01-19T14:12:15Z
1340,ElementTreeSelectionDialog with filters initialization order,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1340,,2023-11-29T14:33:38Z
851,Add convenient static factory methods to create JFace Actions,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/851,,2023-06-24T11:12:54Z
3334,SetBlockOnOpen Platform Differences,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3334,bug,2025-09-27T18:05:11Z
897,The method observe(Viewer) is ambiguous for ViewerProperties.input(),open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/897,,2023-06-29T14:22:17Z
3090,Restore Defaults on Colors and Fonts preference dialog makes dark theme unusable,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3090,bug,2025-07-07T11:43:12Z
1211,Setup default sorter for GenericTextEditor or make it pluggable,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1211,,2023-10-11T15:03:21Z
2720,Reduce gradients usage in new Wizard,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2720,enhancement,2025-01-17T09:20:13Z
2202,The Property view steals PropertySheetPages from other views,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2202,bug,2024-08-16T08:35:29Z
3420,Add CoreExpression support for handler enablement in E4 model,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3420,,2025-10-21T07:48:31Z
629,Disable theming by default in Linux distributions?,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/629,,2023-03-12T09:01:27Z
3144,Find and Replace overlay blocks top content in editor,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3144,enhancement,2025-08-04T06:01:01Z
3582,`PopupCloser` is not always properly uninstalled and pollutes the filterTable of the Display,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3582,bug,2025-12-14T21:50:02Z
2624,QuickDiff for embedded text documents,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2624,enhancement,2024-12-12T14:09:02Z
2663,Dialog tray taking wider width than the wizard when we maximise the wizard dialog. It can't be customised.,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2663,"bug, needinfo",2025-01-06T03:43:33Z
1102,IContentAssistProcessor.computeCompletionProposals dont't know if it's part of autoassist or on-demand assist,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1102,,2023-09-12T08:50:27Z
3476,Update icon of custom view,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3476,,2025-10-31T19:49:35Z
2498,Find/Replace Overlay: Compare Editor,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2498,bug,2024-11-06T08:52:27Z
3067,Screen reader does not read label of spinner widget,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3067,bug,2025-06-25T14:17:23Z
3044,Ruler icons should scale with font size,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3044,"bug, enhancement",2025-06-14T10:45:01Z
457,"Editors should always be saved in the method WorkbenchPage.closeAllPerspectives(boolean, boolean)?",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/457,,2022-11-18T06:04:07Z
879,Editor to show code in multiple (>2) columns on wide monitors,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/879,enhancement,2022-08-19T16:16:31Z
3660,Migrate Layout Performance Tests to JUnit 5,closed,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3660,,2026-01-12T08:50:25Z
